countryCode,area
AW,180
AF,652860
AO,1246700
AL,28750
AD,470
AE,98647.9
AR,2780400
AM,29740
AS,200
AG,440
AU,7741220
AT,83879
AZ,86600
BI,27830
BE,30530
BJ,114760
BF,274220
BD,147570
BG,111000
BH,785
BS,13880
BA,51210
BY,207610
BZ,22970
BM,4290
BO,1098580
BR,8515770
BB,430
BN,5770
BT,38390
BW,581730
CF,622980
CA,9879750
CH,41290.39
CL,756700
CN,9600012.9
CI,322460
CM,475440
CD,2344860
CG,342000
CO,1140619.05
KM,1861
CV,4030
CR,51100
CU,109880
KY,264
CY,9250
CZ,78871.01
DE,357590
DJ,23200
DM,750
DK,42920
DO,48670
DZ,2381741
EC,256370
EG,1001450
ER,121630.327
ES,505969.891
EE,45340
ET,1136239.54
FI,338460
FJ,18270
FR,549086.87
FO,12959.67
FM,700
GA,267670
GB,243610
GE,69700
GH,238530
GI,10
GN,245860
GM,11300
GW,36130
GQ,28050
GR,131960
GD,340
GL,410450
GT,108890
GU,540
GY,214970
HK,1110
HN,112490
HR,88070
HT,27750
HU,93030
ID,1916906.77
IM,570
IN,3287260
IE,70280
IR,1745150
IQ,435052
IS,103000
IL,22070
IT,302068
JM,10990
JO,89318
JP,377974
KZ,2724900
KE,580370
KG,199950
KH,181040
KI,810
KN,260
KR,100410
KW,17820
LA,236800
LB,10450
LR,111370
LY,1759540
LC,620
LI,160
LK,65610
LS,30360
LT,65290
LU,2590
LV,64590
MO,32.9
MA,446550
MC,74.92
MD,33850
MG,587295
MV,300
MX,1964375
MH,180
MK,25710
ML,1240190
MT,320
MM,676590
ME,13810
MN,1564115.75
MP,460
MZ,799380
MR,1030700
MU,2040
MW,118480
MY,330241
NA,824290
NC,18580
NE,1267000
NG,923770
NI,130370
NL,41540
NO,624499
NP,147180
NR,20
NZ,267710
OM,309500
PK,796100
PA,75320
PE,1285220
PH,300000
PW,460
PG,462840
PL,312710
PR,8870
KP,120540
PT,92230
PY,406752
PS,6020
PF,3471
QA,11490
RO,238400
RU,17098250
RW,26340
SA,2149690
SD,1878000
SN,196710
SG,728
SB,28900
SL,72300
SV,21040
SM,60
SO,637660
RS,84990
SS,646883
ST,960
SR,163820
SK,49030
SI,20480
SE,528860.704
SZ,17360
SC,460
SY,185180
TC,950
TD,1284000
TG,56790
TH,513120
TJ,141380
TM,488100
TL,14870
TO,750
TT,5130
TN,163610
TR,785350
TV,30
TZ,947300
UG,241550
UA,603550
UY,176220
US,9831510
UZ,448924
VC,390
VE,912050
VG,150
VI,350
VN,331340
VU,12190
WS,2840
YE,527970
ZA,1219090
ZM,752610
ZW,390760